"userId","username","pullrequest回数"
3797062,"haya14busa",12
189505037,"noritaka1166",12
6822923,"yoshiko-pg",7
73962,"mizchi",2
63000297,"no-yan",2
65926267,"tsukasaI",2
5627119,"arayaryoma",1
842587,"hatayama",1
145091553,"hayatosc",1
8146876,"kawarimidoll",1
12035578,"konojunya",1
78241354,"maguroid",1
10877,"mitsuru",1
857162,"rfkm",1
5309672,"sakamossan",1
112471234,"seesaw-monster",1
1281509,"tsumuchan",1
513396,"umiyosh",1
38400669,"unvalley",1
13715034,"uzimaru0000",1
954668,"yicrotkd",1
104719412,"yu7400ki",1
16265411,"yukukotani",1
