"contribution_point","user_id","user_database_id","user_login","user_name","user_url","user_type","task_total_count"
"127218","BOT_kgDOCnlnWA","175728472","copilot-pull-request-reviewer","","https://github.com/apps/copilot-pull-request-reviewer","Bot","1"
"2312","BOT_kgDODIGtWg","209825114","claude","","https://github.com/apps/claude","Bot","1"
"362","O_kgDOAGFqsg","6384306","SpaceBlocks","SpaceBlocks","https://github.com/SpaceBlocks","Organization","1"
"360","U_kgDM2Q","217","tkersey","Tim Kersey","https://github.com/tkersey","node","1"
"365","U_kgDN-0k","64329","esneko","Andrejs Agejevs","https://github.com/esneko","node","1"
"360","U_kgDN-so","64202","truedat101","David J. Kordsmeier","https://github.com/truedat101","node","1"
"357","U_kgDN3b8","56767","shimbaco","Shimba, Koji","https://github.com/shimbaco","node","1"
"365","U_kgDN3xo","57114","k1LoW","Ken’ichiro Oyama","https://github.com/k1LoW","node","1"
"360","U_kgDN80U","62277","snoblenet","Steven Noble","https://github.com/snoblenet","node","1"
"362","U_kgDN8dg","61912","voldmar","Volodymyr Epifanov","https://github.com/voldmar","node","1"
"363","U_kgDND20","3949","noplans","Fumitake TANIGUCHI","https://github.com/noplans","node","1"
"365","U_kgDNDaw","3500","hotchpotch","Yuichi Tateno (secon)","https://github.com/hotchpotch","node","1"
"365","U_kgDNDxA","3856","mrluanma","Zhao Xiaohong","https://github.com/mrluanma","node","1"
"365","U_kgDNFsQ","5828","gingerhendrix","Gareth Andrew","https://github.com/gingerhendrix","node","1"
"364","U_kgDNGts","6875","kenchan","Kenichi Takahashi","https://github.com/kenchan","node","1"
"365","U_kgDNHyk","7977","matsuda","Kosuke Matsuda","https://github.com/matsuda","node","1"
"363","U_kgDNJjQ","9780","negipo","Yoshiteru Negishi","https://github.com/negipo","node","1"
"362","U_kgDNJn4","9854","brandonzylstra","Brandon Zylstra","https://github.com/brandonzylstra","node","1"
"365","U_kgDNJuM","9955","Sixeight","Tomohiro Nishimura","https://github.com/Sixeight","node","1"
"365","U_kgDNKVY","10582","kataring","Noriaki Katayama","https://github.com/kataring","node","1"
"365","U_kgDNKbo","10682","yusukebe","Yusuke Wada","https://github.com/yusukebe","node","1"
"16076","U_kgDNKn0","10877","mitsuru","","https://github.com/mitsuru","User","2"
"365","U_kgDNMGc","12391","dai","dai","https://github.com/dai","node","1"
"364","U_kgDNRdI","17874","gabu","Shoya Tsukada","https://github.com/gabu","node","1"
"364","U_kgDNT5Y","20374","dragon3","Ryuzo Yamamoto","https://github.com/dragon3","node","1"
"2361","U_kgDNTQI","19714","azu","azu","https://github.com/azu","User","3"
"365","U_kgDNTak","19881","twada","Takuto Wada","https://github.com/twada","node","1"
"363","U_kgDNWUk","22857","dealforest","Toshihiro Morimoto","https://github.com/dealforest","node","1"
"359","U_kgDNY6M","25507","yuiseki","yuiseki","https://github.com/yuiseki","node","1"
"363","U_kgDNcwA","29440","sorah","Sorah Fukumori","https://github.com/sorah","node","1"
"362","U_kgDNdQc","29959","hansv","Hans verschooten","https://github.com/hansv","node","1"
"365","U_kgDNeS8","31023","wsuff","","https://github.com/wsuff","node","1"
"365","U_kgDNetg","31448","satococoa","Satoshi Ebisawa","https://github.com/satococoa","node","1"
"363","U_kgDNiWI","35170","nightscape","Martin Mauch","https://github.com/nightscape","node","1"
"359","U_kgDNjtM","36563","troter","Takumi IINO","https://github.com/troter","node","1"
"364","U_kgDNkLs","37051","shoito","shoito","https://github.com/shoito","node","1"
"364","U_kgDNm_o","39930","washoprc","Washo","https://github.com/washoprc","node","1"
"365","U_kgDNp5Y","42902","taku-o","taku-o","https://github.com/taku-o","node","1"
"365","U_kgDNpeQ","42468","ktakayama","Kyosuke Takayama","https://github.com/ktakayama","node","1"
"20606","U_kgDNpn8","42623","basyura","basyura","https://github.com/basyura","User","4"
"365","U_kgDNrLs","44219","tatsuosakurai","tatsuo sakurai","https://github.com/tatsuosakurai","node","1"
"20576","U_kgDOA-30ew","65926267","tsukasaI","tsukasa-ino","https://github.com/tsukasaI","User","6"
"365","U_kgDOA-8sHg","66006046","iromonek39","iromonek39","https://github.com/iromonek39","node","1"
"362","U_kgDOA-Cthg","65056134","kyong0612","kimkiyong","https://github.com/kyong0612","node","1"
"365","U_kgDOA-J4mQ","65173657","togishima","Takashi Ogishima","https://github.com/togishima","node","1"
"364","U_kgDOA-a7zw","65453007","senkenn","SENKEN","https://github.com/senkenn","node","1"
"365","U_kgDOA-cE9g","65471734","DaigoWakabayashi","Daigo","https://github.com/DaigoWakabayashi","node","1"
"718","U_kgDOA-hB-w","65552891","ColourfulU","","https://github.com/ColourfulU","User","2"
"358","U_kgDOA-mIEw","65636371","kode-myh9","","https://github.com/kode-myh9","node","1"
"365","U_kgDOA-qqXg","65710686","shina1024","shina","https://github.com/shina1024","node","1"
"360","U_kgDOA-szMw","65745715","taka-2120","Yu Takahashi","https://github.com/taka-2120","node","1"
"365","U_kgDOA-yRjw","65835407","ikatama","","https://github.com/ikatama","node","1"
"364","U_kgDOA0GTJw","54629159","mrskiro","mrskiro","https://github.com/mrskiro","node","1"
"365","U_kgDOA0QKmg","54790810","hakushun","Shun Nakano","https://github.com/hakushun","node","1"
